Transparency Data ,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,02/12/2014,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,72809103,19.9,GBP
BIS,EPSRC,02/12/2014,T&S UK - Accommodation,Programme Delivery ICT,Unspecified,72809104,82,GBP
BIS,EPSRC,02/12/2014,T&S UK - Mileage,Programme Delivery ICT,Unspecified,72809104,13.5,GBP
BIS,EPSRC,02/12/2014,T&S UK - Other Charges,Programme Delivery ICT,Unspecified,72809104,15,GBP
BIS,EPSRC,02/12/2014,T&S UK - Parking Tolls Congestion Charges,Programme Delivery ICT,Unspecified,72809104,24.99,GBP
BIS,EPSRC,02/12/2014,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,72809104,128.78,GBP
BIS,EPSRC,02/12/2014,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,72809104,7.4,GBP
BIS,EPSRC,02/12/2014,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,72809104,51.27,GBP
BIS,EPSRC,03/12/2014,Meetings & Catering,Admin RCUK Strategy Unit,Department for Business Innovation and Skills,70165060,40.5,GBP
BIS,EPSRC,03/12/2014,Meetings & Catering,Admin RCUK Strategy Unit,Department for Business Innovation and Skills,70165060,870,GBP
BIS,EPSRC,03/12/2014,Research Grant Expenditure,Digital Economy Digital Economy,Technology Strategy Board,71091094,31671.78,GBP
BIS,EPSRC,03/12/2014,Research Grant Expenditure,Energy Energy,Technology Strategy Board,71091094,79179.45,GBP
BIS,EPSRC,03/12/2014,Research Grant Expenditure,Healthcare Healthcare,Technology Strategy Board,71091094,31671.78,GBP
BIS,EPSRC,03/12/2014,Research Grant Expenditure,Manufacturing Manufacturing,Technology Strategy Board,71091094,31671.78,GBP
BIS,EPSRC,03/12/2014,Research Grant Expenditure,NC Engineering,Technology Strategy Board,71091094,31671.78,GBP
BIS,EPSRC,03/12/2014,Research Grant Expenditure,NC ICT,Technology Strategy Board,71091094,31671.78,GBP
BIS,EPSRC,03/12/2014,Research Grant Expenditure,NC Physical Sciences,Technology Strategy Board,71091094,79179.45,GBP
BIS,EPSRC,03/12/2014,Telecoms - Calls Fax & internet Costs,PSU IS,Telecoms World Plc,72965076,16.78,GBP
BIS,EPSRC,03/12/2014,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,72967098,200,GBP
BIS,EPSRC,04/12/2014,Agency Staff,Communications and Stakeholder Engagement,Reed Specialist Recruitment Ltd,70963061,344.78,GBP
BIS,EPSRC,04/12/2014,Agency Staff,Communications and Stakeholder Engagement,Reed Specialist Recruitment Ltd,71872090,470.16,GBP
BIS,EPSRC,04/12/2014,Photocopy Costs,JRS,PWS Ltd,72458117,170,GBP
BIS,EPSRC,04/12/2014,Hospitality,Programme Delivery Energy,Calder Conference Ltd,72867061,1.2,GBP
BIS,EPSRC,04/12/2014,Hospitality,Programme Delivery Energy,Calder Conference Ltd,72867061,5.38,GBP
BIS,EPSRC,04/12/2014,Hospitality,Programme Delivery Energy,Calder Conference Ltd,72867061,1075.2,GBP
BIS,EPSRC,04/12/2014,Non-staff travel and subsistance,Programme Delivery Engineering,Non Employee Expenses Supplier,72886276,169.75,GBP
BIS,EPSRC,04/12/2014,Purchase of non capital equipment,EPSRC Corporate Services,Apple Distribution International,72886314,89.95,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886326,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886326,139.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886333,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886333,139.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886338,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886338,139.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886342,70,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72886348,70,GBP
BIS,EPSRC,04/12/2014,Marketing & PR,Communications and Stakeholder Engagement,Ms Suzanne Austin,72888857,800,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72889046,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72889046,139.99,GBP
BIS,EPSRC,04/12/2014,Photocopy Costs,JRS,Premier Paper Group Ltd,72890316,1598.4,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891064,70,GBP
BIS,EPSRC,04/12/2014,Health & Safety (inc. Medicals & Opticians),PSU HR,Swindon Occupational Medical Services Ltd,72891071,575,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891077,70,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891079,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891079,139.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891082,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891082,139.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891084,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891084,139.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891087,70,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891089,70,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891092,70,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891093,0.01,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891093,139.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891097,70,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),Jurys Inns Group Ltd,72891100,70,GBP
BIS,EPSRC,04/12/2014,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Abbey Business Equipment Ltd,72891116,60,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Director BI/BR,Unspecified,72891216,3.8,GBP
BIS,EPSRC,04/12/2014,T&S UK - Other Charges,Programme Delivery Energy,Unspecified,72891217,10,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,72891217,11,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,72891217,20.63,GBP
BIS,EPSRC,04/12/2014,T&S UK - Other Charges,Programme Delivery Energy,Unspecified,72891218,5,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,72891218,25.05,GBP
BIS,EPSRC,04/12/2014,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Unspecified,72891219,12.99,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,EPSRC Corporate Services,Unspecified,72891219,1.45,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,EPSRC Corporate Services,Unspecified,72891219,8.8,GBP
BIS,EPSRC,04/12/2014,UK - Professional Memberships & Subscriptions,EPSRC Corporate Services,Unspecified,72891219,310,GBP
BIS,EPSRC,04/12/2014,T&S UK - Mileage,Admin Public Engagement with Research,Unspecified,72891220,27,GBP
BIS,EPSRC,04/12/2014,T&S UK - Parking Tolls Congestion Charges,Admin Public Engagement with Research,Unspecified,72891220,10,GBP
BIS,EPSRC,04/12/2014,T&S UK - Other Charges,Newton Programme Management Team,Unspecified,72891221,5.1,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,72891221,20,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,72891221,47,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,72891221,14.95,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,72891221,48.32,GBP
BIS,EPSRC,04/12/2014,T&S UK - Accommodation,Admin Peer Review and Output (excluding external panel member fees),De Vere Hotel Swindon,72921061,109,GBP
BIS,EPSRC,04/12/2014,T&S UK - Mileage,External communications,Unspecified,72937071,72,GBP
