Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of Manchester GRANT,37921964,121181.04,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,Brunel University GRANT,37921965,14014.24,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,Energy Energy,University of Sheffield GRANT,37921966,22500,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Sheffield GRANT,37921966,10132.01,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Bristol GRANT,37921967,6525.31,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Maths,University of Birmingham GRANT,37921968,67984.55,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Healthcare,University of Leeds GRANT,37921969,205620.44,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of Leeds GRANT,37921969,137080.3,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Sheffield GRANT,37921970,22449.69,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,Energy Energy,University of Manchester GRANT,37921971,3327.6,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Manchester GRANT,37921971,49818.88,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,ICSTM,37921972,23705.99,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,Energy Energy,Brunel University GRANT,37921973,9600,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,Brunel University GRANT,37921973,40853.81,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,Manufacturing Manufacturing,University of York GRANT,37921974,22618.5,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of York GRANT,37921974,91384.66,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,Loughborough University GRANT,37921975,89696.17,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of Liverpool GRANT,37921976,118632.95,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Physical Sciences,University College London GRANT,37921977,44176.37,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of Strathclyde GRANT,37921978,130282.65,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,Swansea University,37921979,2677.64,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,University of Cambridge,37921980,2389.33,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,University of Newcastle upon Tyne GRANT,37921981,2504.17,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Cambridge,37921982,8904.93,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Maths,University of Sheffield GRANT,37921983,15705.37,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Southampton GRANT,37921984,258842.14,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Maths,University of Bath,37921985,18826.43,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,University of Cambridge,37921986,41206.36,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,University of Cambridge,37921986,79033.98,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,University of Exeter GRANT,37921987,21218.83,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,R H B N C GRANT,37921988,20349.82,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,R H B N C GRANT,37921988,3707.64,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Maths,R H B N C GRANT,37921988,32204.16,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,Open University GRANT,37921989,28313.68,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,Open University GRANT,37921989,7225.02,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Sheffield GRANT,37921990,22631.4,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Digital Economy ICT,Queen Mary University of London,37921991,21659.26,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,Digital Economy ICT,University College London GRANT,37921992,2890.87,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC ICT,University College London GRANT,37921992,963.63,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Digital Economy ICT,University College London GRANT,37921992,38140.69,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University College London GRANT,37921992,12713.59,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University College London GRANT,37921994,89845.05,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Digital Economy ICT,University of Bath,37921995,59503.02,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Bath,37921995,19834.35,GBP
