DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,03/06/2015,Recruitment Costs,EPSRC Corporate Services,RCUK Shared Services Centre Ltd,87649150,-8.64,GBP
BIS,EPSRC,03/06/2015,Recruitment Costs,EPSRC Corporate Services,RCUK Shared Services Centre Ltd,87649150,51.84,GBP
BIS,EPSRC,03/06/2015,Meetings & Catering,Programme Delivery Manufacturing,University of Leeds,87649229,145.56,GBP
BIS,EPSRC,03/06/2015,Meetings & Catering,Programme Delivery Quantum Technology,Royal Academy of Engineering,87657067,28.8,GBP
BIS,EPSRC,03/06/2015,Meetings & Catering,Programme Delivery Quantum Technology,Royal Academy of Engineering,87657067,616.8,GBP
BIS,EPSRC,03/06/2015,T&S UK - Mileage,Admin Research Base Director,Unspecified,87661158,78.75,GBP
BIS,EPSRC,03/06/2015,Education Fees & Study Materials,Performance and Evaluation,Unspecified,87661159,4.27,GBP
BIS,EPSRC,03/06/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,87661160,8,GBP
BIS,EPSRC,03/06/2015,T&S UK - Vehicle Hire,Programme Delivery Engineering,Unspecified,87661161,11.4,GBP
BIS,EPSRC,04/06/2015,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,86690073,6.5,GBP
BIS,EPSRC,04/06/2015,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,86690073,7.6,GBP
BIS,EPSRC,04/06/2015,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,86690073,5,GBP
BIS,EPSRC,04/06/2015,Conferences & Seminars,Programme Delivery ICT,Calder Conference Ltd,86812221,305.7,GBP
BIS,EPSRC,04/06/2015,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,87300604,9.6,GBP
BIS,EPSRC,04/06/2015,Purchase of non capital equipment,EPSRC Corporate Services,Apple Distribution International,87329060,45,GBP
BIS,EPSRC,04/06/2015,Purchase of non capital equipment,EPSRC Corporate Services,Apple Distribution International,87329060,45,GBP
BIS,EPSRC,04/06/2015,Purchase of non capital equipment,EPSRC Corporate Services,Apple Distribution International,87329060,75,GBP
BIS,EPSRC,04/06/2015,Purchase of non capital equipment,EPSRC Corporate Services,Apple Distribution International,87330061,89.95,GBP
BIS,EPSRC,04/06/2015,T&S UK - Other Charges,EPSRC Corporate Services,Unspecified,87715278,25,GBP
BIS,EPSRC,04/06/2015,T&S UK - Accommodation,Programme Delivery Engineering,Unspecified,87715279,87,GBP
BIS,EPSRC,04/06/2015,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,87715279,9,GBP
BIS,EPSRC,04/06/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,87715279,5,GBP
BIS,EPSRC,04/06/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,87715279,19.85,GBP
BIS,EPSRC,04/06/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,87715279,21.42,GBP
BIS,EPSRC,04/06/2015,T&S Overseas - Accommodation,Performance and Evaluation,Unspecified,87715280,221.48,GBP
BIS,EPSRC,04/06/2015,T&S Overseas - Mileage,Performance and Evaluation,Unspecified,87715280,86.22,GBP
BIS,EPSRC,04/06/2015,T&S Overseas - Parking Tolls Congestion Charges,Performance and Evaluation,Unspecified,87715280,34.38,GBP
BIS,EPSRC,04/06/2015,T&S Overseas - Public Transport,Performance and Evaluation,Unspecified,87715280,8.57,GBP
BIS,EPSRC,04/06/2015,T&S Overseas - Subsistence,Performance and Evaluation,Unspecified,87715280,10,GBP
BIS,EPSRC,04/06/2015,T&S Overseas - Subsistence,Performance and Evaluation,Unspecified,87715280,54.39,GBP
BIS,EPSRC,04/06/2015,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,87715281,60,GBP
BIS,EPSRC,04/06/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,87715281,4.8,GBP
BIS,EPSRC,04/06/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,87715281,5,GBP
BIS,EPSRC,04/06/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,87715281,40.7,GBP
BIS,EPSRC,04/06/2015,T&S UK - Public Transport,EPSRC Corporate Services,Unspecified,87715282,5,GBP
BIS,EPSRC,04/06/2015,T&S UK - Public Transport,EPSRC Corporate Services,Unspecified,87715282,9.2,GBP
BIS,EPSRC,04/06/2015,T&S UK - Other Charges,Programme Delivery Capability,Unspecified,87715283,16.6,GBP
BIS,EPSRC,04/06/2015,Consumables,JRS,Banner Business Services Limited,87716170,2.33,GBP
BIS,EPSRC,04/06/2015,Consumables,JRS,Banner Business Services Limited,87716170,2.33,GBP
BIS,EPSRC,04/06/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,87716171,6.9,GBP
BIS,EPSRC,04/06/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,87716171,21.6,GBP
BIS,EPSRC,04/06/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,87716171,31.63,GBP
BIS,EPSRC,04/06/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,87716171,40.61,GBP
BIS,EPSRC,04/06/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,87716171,45.72,GBP
BIS,EPSRC,04/06/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,87716171,54.04,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Admin RCUK Strategy Unit,Non Employee Expenses Supplier,87759212,7.24,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,87759213,94.5,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,87759214,282.2,GBP
BIS,EPSRC,04/06/2015,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,87759215,480,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Associate Director Operations,Non Employee Expenses Supplier,87759216,20.11,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87759217,170.1,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87759218,177.75,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Programme Delivery Digital Economy,Non Employee Expenses Supplier,87759219,131.39,GBP
BIS,EPSRC,04/06/2015,Fees (Including College Members),Programme Delivery Digital Economy,Non Employee Expenses Supplier,87759220,320,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Programme Delivery Digital Economy,Non Employee Expenses Supplier,87759221,85.55,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Programme Delivery Digital Economy,Non Employee Expenses Supplier,87759222,27.2,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Programme Delivery Digital Economy,Non Employee Expenses Supplier,87759223,162.81,GBP
BIS,EPSRC,04/06/2015,Fees (Including College Members),Programme Delivery Digital Economy,Non Employee Expenses Supplier,87759224,160,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87759225,121.3,GBP
BIS,EPSRC,04/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87759226,103.2,GBP
BIS,EPSRC,05/06/2015,Storage & Archiving Costs,EPSRC Corporate Services,Dennis's Removals,87659220,33.43,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Associate Director Operations,Non Employee Expenses Supplier,87777561,202.5,GBP
